,source,target,count
1662,New York,New Jersey,36401
1636,New York,California,25255
1641,New York,Florida,24084
1670,New York,Pennsylvania,19339
1675,New York,Texas,14708
1638,New York,Connecticut,14420
1653,New York,Massachusetts,13568
1678,New York,Virginia,9302
1665,New York,North Carolina,9270
1642,New York,Georgia,7994
2197,Texas,California,86164
2202,Texas,Florida,37262
2211,Texas,Louisiana,29108
2229,Texas,Oklahoma,24590
2198,Texas,Colorado,21509
2218,Texas,Missouri,21257
2206,Texas,Illinois,19241
2225,Texas,New York,18925
2239,Texas,Virginia,18731
2195,Texas,Arizona,18628
251,California,Washington,38007
247,California,Texas,37810
236,California,New York,34848
206,California,Arizona,33670
241,California,Oregon,24050
213,California,Florida,22464
232,California,Nevada,22433
217,California,Illinois,22165
209,California,Colorado,18755
250,California,Virginia,17725
2366,Virginia,Maryland,28366
2379,Virginia,North Carolina,23916
2350,Virginia,California,21210
2355,Virginia,Florida,20272
2378,Virginia,New York,17983
2389,Virginia,Texas,14918
2384,Virginia,Pennsylvania,13013
2354,Virginia,District of Columbia ,11821
2376,Virginia,New Jersey,9605
2386,Virginia,South Carolina,8776
